sgbtrf.f,"['M', 'N', 'KL', 'KU', 'LDAB']","['IPIV', 'INFO']",['AB']
sgetrf.f,"['M', 'N', 'LDA']","['IPIV', 'INFO']",['A']
sgttrf.f,['N'],"['DU2', 'IPIV', 'INFO']","['DL', 'D', 'DU']"
spbtrf.f,"['UPLO', 'N', 'KD', 'LDAB']",['INFO'],['AB']
spftrf.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
spotrf.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
spptrf.f,"['UPLO', 'N']",['INFO'],['AP']
spstrf.f,"['UPLO', 'N', 'LDA', 'TOL']","['PIV', 'RANK', 'WORK', 'INFO']",['A']
ssptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
ssytrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
dgbtrf.f,"['M', 'N', 'KL', 'KU', 'LDAB']","['IPIV', 'INFO']",['AB']
dgetrf.f,"['M', 'N', 'LDA']","['IPIV', 'INFO']",['A']
dgttrf.f,['N'],"['DU2', 'IPIV', 'INFO']","['DL', 'D', 'DU']"
dpbtrf.f,"['UPLO', 'N', 'KD', 'LDAB']",['INFO'],['AB']
dpftrf.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
dpotrf.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
dpptrf.f,"['UPLO', 'N']",['INFO'],['AP']
dpstrf.f,"['UPLO', 'N', 'LDA', 'TOL']","['PIV', 'RANK', 'WORK', 'INFO']",['A']
dsptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
dsytrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
cgbtrf.f,"['M', 'N', 'KL', 'KU', 'LDAB']","['IPIV', 'INFO']",['AB']
cgetrf.f,"['M', 'N', 'LDA']","['IPIV', 'INFO']",['A']
cgttrf.f,['N'],"['DU2', 'IPIV', 'INFO']","['DL', 'D', 'DU']"
chetrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
chptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
cpbtrf.f,"['UPLO', 'N', 'KD', 'LDAB']",['INFO'],['AB']
cpftrf.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
cpotrf.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
cpptrf.f,"['UPLO', 'N']",['INFO'],['AP']
cpstrf.f,"['UPLO', 'N', 'LDA', 'TOL']","['PIV', 'RANK', 'WORK', 'INFO']",['A']
cpttrf.f,['N'],['INFO'],"['D', 'E']"
csptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
csytrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
zgbtrf.f,"['M', 'N', 'KL', 'KU', 'LDAB']","['IPIV', 'INFO']",['AB']
zgetrf.f,"['M', 'N', 'LDA']","['IPIV', 'INFO']",['A']
zgttrf.f,['N'],"['DU2', 'IPIV', 'INFO']","['DL', 'D', 'DU']"
zhetrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
zhptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
zpbtrf.f,"['UPLO', 'N', 'KD', 'LDAB']",['INFO'],['AB']
zpftrf.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
zpotrf.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
zpptrf.f,"['UPLO', 'N']",['INFO'],['AP']
zpstrf.f,"['UPLO', 'N', 'LDA', 'TOL']","['PIV', 'RANK', 'WORK', 'INFO']",['A']
zpttrf.f,['N'],['INFO'],"['D', 'E']"
zsptrf.f,"['UPLO', 'N']","['IPIV', 'INFO']",['AP']
zsytrf.f,"['UPLO', 'N', 'LDA', 'LWORK']","['IPIV', 'WORK', 'INFO']",['A']
