sgetri.f,"['N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
spftri.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
spotri.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
spptri.f,"['UPLO', 'N']",['INFO'],['AP']
ssptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
ssytri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
ssytri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
ssytri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
stftri.f,"['TRANSR', 'UPLO', 'DIAG', 'N']",['INFO'],['A']
stptri.f,"['UPLO', 'DIAG', 'N']",['INFO'],['AP']
strti2.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
strtri.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
dgetri.f,"['N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
dpftri.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
dpotri.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
dpptri.f,"['UPLO', 'N']",['INFO'],['AP']
dsptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
dsytri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
dsytri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
dsytri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
dtftri.f,"['TRANSR', 'UPLO', 'DIAG', 'N']",['INFO'],['A']
dtptri.f,"['UPLO', 'DIAG', 'N']",['INFO'],['AP']
dtrti2.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
dtrtri.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
cgetri.f,"['N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
chetri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
chetri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
chetri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
chptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
cpftri.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
cpotri.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
cpptri.f,"['UPLO', 'N']",['INFO'],['AP']
csptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
csytri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
csytri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
csytri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
ctftri.f,"['TRANSR', 'UPLO', 'DIAG', 'N']",['INFO'],['A']
ctptri.f,"['UPLO', 'DIAG', 'N']",['INFO'],['AP']
ctrti2.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
ctrtri.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
zgetri.f,"['N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
zhetri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
zhetri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
zhetri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
zhptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
zpftri.f,"['TRANSR', 'UPLO', 'N']",['INFO'],['A']
zpotri.f,"['UPLO', 'N', 'LDA']",['INFO'],['A']
zpptri.f,"['UPLO', 'N']",['INFO'],['AP']
zsptri.f,"['UPLO', 'N', 'IPIV']","['WORK', 'INFO']",['AP']
zsytri.f,"['UPLO', 'N', 'LDA', 'IPIV']","['WORK', 'INFO']",['A']
zsytri2.f,"['UPLO', 'N', 'LDA', 'IPIV', 'LWORK']","['WORK', 'INFO']",['A']
zsytri2x.f,"['UPLO', 'N', 'LDA', 'IPIV', 'NB']","['WORK', 'INFO']",['A']
ztftri.f,"['TRANSR', 'UPLO', 'DIAG', 'N']",['INFO'],['A']
ztptri.f,"['UPLO', 'DIAG', 'N']",['INFO'],['AP']
ztrti2.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
ztrtri.f,"['UPLO', 'DIAG', 'N', 'LDA']",['INFO'],['A']
